state/union_territory,city/town/village,year,so2,no2,pm10,pm2.5
Pondicherry (UT),Pondicherry,2021,7.0,11.0,42.0,20.0
Punjab,Aligarh (Jagraon),2021,8.0,16.0,76.0,51.0
Punjab,Amritsar,2021,14.0,21.0,116.0,51.0
Punjab,Aspal Khurd (Tapa),2021,7.0,19.0,106.0,51.0
Punjab,Bara Pind (Goraya),2021,7.0,17.0,87.0,51.0
Punjab,Batala,2021,7.0,19.0,77.0,51.0
Punjab,Bhatinda,2021,6.0,15.0,105.0,50.0
Punjab,Binjon (Garshankar),2021,6.0,15.0,81.0,51.0
Punjab,Bishanpura (Payal),2021,8.0,20.0,137.0,51.0
Punjab,Changal (Sangrur),2021,6.0,16.0,99.0,51.0
Punjab,Chowkimann (Jagraon),2021,7.0,16.0,182.0,51.0
Punjab,Dera Baba Nanak,2021,7.0,13.0,74.0,51.0
Punjab,Dera Bassi,2021,7.0,18.0,100.0,51.0
Punjab,Fatehpur (Samana),2021,6.0,17.0,91.0,51.0
Punjab,Gobindgarh Mandi Gobindgarh,2021,10.0,21.0,122.0,63.0
Punjab,Guru Ki Dhab (Kotkapura),2021,4.0,11.0,91.0,51.0
Punjab,Jaito Sarja (Batala),2021,6.0,14.0,70.0,51.0
Punjab,Jalandhar,2021,13.0,22.0,120.0,55.0
Punjab,Khanna,2021,13.0,24.0,105.0,49.0
Punjab,Kharaori (Sirhind),2021,6.0,19.0,92.0,51.0
Punjab,Kotladoom (Ajnala),2021,8.0,15.0,111.0,51.0
Punjab,Lakho ke Behram (Ferozpur),2021,4.0,15.0,91.0,51.0
Punjab,Ludhiana,2021,10.0,30.0,149.0,54.0
Punjab,Mukandpur (Nawashahar),2021,7.0,18.0,104.0,51.0
Punjab,Mureedke (Batala),2021,6.0,16.0,85.0,51.0
Punjab,Naudhrani (Malerkotla),2021,5.0,17.0,95.0,51.0
Punjab,Naya Nangal,2021,5.0,15.0,78.0,51.0
Punjab,Patiala,2021,6.0,18.0,110.0,50.0
Punjab,"Peer Mohammad
(Jalalabad)",2021,4.0,11.0,85.0,51.0
Punjab,Qila Bharian (Sangrur),2021,5.0,16.0,94.0,51.0
Punjab,Rakhra (Patiala),2021,6.0,18.0,90.0,51.0
Punjab,Rohila (Samrala),2021,8.0,17.0,119.0,51.0
Punjab,Rupnagar,2021,11.0,8.0,126.0,59.0
Punjab,Tirathpur (Amritsar I),2021,8.0,18.0,128.0,51.0
Rajasthan,Ajmer,2021,13.0,24.0,96.0,45.0
